"","Domain","Phylum","Class","Order","Family","Genus","Species","Trophic.Mode","Guild","Trait","Confidence.Ranking","Notes","Citation.Source","Genus_species"
"ASV529","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Lecanora","NA","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Lecanora_NA"
"ASV530","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Dactylosporaceae","Dactylospora","vrijmoediae","Pathotroph","Lichen Parasite","NULL","Possible","Some species are non-lichenicolous","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Dactylospora_vrijmoediae"
"ASV531","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV532","Fungi","Basidiomycota","Agaricomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV533","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Monocillium","tenue","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Monocillium_tenue"
"ASV534","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Barbatosphaeria","neglecta","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Barbatosphaeria_neglecta"
"ASV535","Fungi","Ascomycota","Dothideomycetes","Capnodiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV536","Fungi","Basidiomycota","Tremellomycetes","Tremellales","NA","NA","NA","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","NA_NA"
"ASV537","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","salmonis","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471","Exophiala_salmonis"
"ASV538","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Penicillium_NA"
"ASV539","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Catenulostroma","NA","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Catenulostroma_NA"
"ASV540","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Sordariomycetes_fam_Incertae_sedis","Lentomitella","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Lentomitella_NA"
"ASV541","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Eutypa","spinosa","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Eutypa_spinosa"
"ASV542","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae","Angustimassarina","premilcurensis","Pathotroph-Saprotroph","Fungal Parasite-Wood Saprotroph","NULL","Highly Probable","On fungi or dead wood in terrestrial habitats (Thambugala et al. 2015)","Thambugala KM, et al. 2015. Fungal Diversity 74:199-266","Angustimassarina_premilcurensis"
"ASV543","Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Calocera","cornea","Saprotroph","Wood Saprotroph","Brown Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688; Nagy LG et al. 2016. Molecular Biology and Evolution 33:959-970","Calocera_cornea"
"ASV544","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","NA","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","NULL","Probable","Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)","Neocucurbitaria_NA"
"ASV545","Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Dacrymyces","stenosporus","Saprotroph","Wood Saprotroph","Brown Rot","Probable","NULL","Worrall JJ, et al. 1997. Mycologia 89:199-219","Dacrymyces_stenosporus"
"ASV546","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Acericola","italica","Pathotroph-Saprotroph","Fungal Parasite-Plant Pathogen-Plant Saprotroph","NULL","Probable","Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Acericola_italica"
"ASV547","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","NA","NA","Symbiotroph","Ectomycorrhizal","NULL","Probable","Terrestrial forming mycorrhizas with a wide range of plants including orchids, Ericaceae and liverworts as well as ectomycorrhizas with conifers and angiosperm trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV548","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","NA","Saprotroph","Wood Saprotroph","NULL","Probable","Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Orbilia_NA"
"ASV549","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Resupinatus","poriaeformis","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Resupinatus_poriaeformis"
"ASV550","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV551","Fungi","Ascomycota","Sordariomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV552","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Hyperphyscia","adglutinata","Symbiotroph","Lichenized","NULL","Highly Probable","Lichenized with green algae, often on nitrogen-rich substrata (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Hyperphyscia_adglutinata"
"ASV553","Fungi","Ascomycota","Leotiomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV554","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","NA","Pathotroph-Saprotroph","Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph","NULL","Probable","NULL","Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Mycena_NA"
"ASV555","Fungi","Ascomycota","Dothideomycetes","Pleosporales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV556","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Hyperphyscia","adglutinata","Symbiotroph","Lichenized","NULL","Highly Probable","Lichenized with green algae, often on nitrogen-rich substrata (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Hyperphyscia_adglutinata"
"ASV557","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Sistotrema","oblongisporum","Saprotroph-Symbiotroph","Ectomycorrhizal-Wood Saprotroph","White Rot","Possible","NULL","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/not ECM).; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 pro parte.; http://mycorrhizas.info/ecmf.html (ECM/not ECM).","Sistotrema_oblongisporum"
"ASV558","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV559","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Calycina","claroflava","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Calycina_claroflava"
"ASV560","Fungi","Basidiomycota","Tremellomycetes","Tremellales","NA","NA","NA","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","NA_NA"
"ASV561","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","NA","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","NULL","Probable","Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)","Neocucurbitaria_NA"
"ASV562","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV563","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Parmelina","tiliacea","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Parmelina_tiliacea"
"ASV564","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Bisporella","citrina","Saprotroph","Wood Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Bisporella_citrina"
"ASV565","Fungi","Basidiomycota","Agaricomycetes","Tremellodendropsidales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV566","Fungi","Ascomycota","Sordariomycetes","Pleurotheciales","Pleurotheciaceae","Pleurothecium","obovoideum","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Pleurothecium_obovoideum"
"ASV567","Fungi","Ascomycota","Sordariomycetes","Pleurotheciales","Pleurotheciaceae","Phaeoisaria","sedimenticola","Saprotroph","Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Tedersoo L, et al. 2014. Science 346:1256688","Phaeoisaria_sedimenticola"
"ASV568","Fungi","Basidiomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV569","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","aloes","Pathotroph-Saprotroph-Symbiotroph","Endophyte-Dung Saprotroph-Lichen Parasite-Litter Saprotroph-Plant Pathogen-Soil Saprotroph-Wood Saprotroph","Soft Rot","Possible","NULL","Richardson MJ. 1972. Transactions of the British Mycological Society 58:37-48; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; de Gruyter J, et al. 2010. Mycologia. 102:1066-1081; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074","Phoma_aloes"
"ASV570","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Rhodoveronaea","varioseptata","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Rhodoveronaea_varioseptata"
"ASV571","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV572","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Zignoella","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Zignoella_NA"
"ASV573","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Zignoella","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Zignoella_NA"
"ASV574","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","NA","Pathotroph-Symbiotroph","Endophyte-Plant Pathogen","NULL","Probable","NULL","Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Colletotrichum_NA"
"ASV576","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Eutypa","spinosa","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Eutypa_spinosa"
"ASV577","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","xanthostigma","Saprotroph","Wood Saprotroph","NULL","Probable","Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Orbilia_xanthostigma"
"ASV578","Fungi","Ascomycota","Xylonomycetes","Symbiotaphrinales","Symbiotaphrinaceae","Symbiotaphrina","buchneri","Symbiotroph","Animal Endosymbiont","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Symbiotaphrina_buchneri"
"ASV579","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Pezoloma","ericae","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Ectomycorrhizal-Ericoid Mycorrhizal-Undefined Saprotroph-Wood Saprotroph","NULL","Possible","Syn.: Hymenoscyphus among other (see e.g., Pezoloma ericae)","Korf RP. 1999. Mycotaxon 73:493-497; Baral and Krieglsteiner 2006. Acta Mycologica 41:11-20 (as a bryophyte parasite); Huhtinen et al. 2010. Nova Hedwigia 90:413-431, Bent et al. 2011. Applied and Environmental Microbiology 77:3351-3359 (as ectomycorrhizae); Tedersoo L, et al. 2014. Science 346:1256688 (as saprotroph)","Pezoloma_ericae"
"ASV580","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes","versicolor","Saprotroph","Wood Saprotroph","White Rot","Highly Probable","NULL","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo","Trametes_versicolor"
"ASV581","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Trichoderma_NA"
"ASV582","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","NULL","Possible","NULL","Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Damm U, et al. 2010. Persoonia 24:60-80; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]","Coniochaeta_NA"
"ASV584","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chaetosphaeria","NA","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Wood Saprotroph","NULL","Probable","NULL","Réblová M et al. 2006. Mycological Research 110:104-109; Tedersoo L, et al. 2014. Science 346:1256688","Chaetosphaeria_NA"
"ASV585","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","NA","NA","Saprotroph","Plant Saprotroph-Wood Saprotroph","NULL","Probable","Saprobes associated with decaying woody and herbaceous plant material, including timber and timber products in damp buildings (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV586","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Arthrocatena","tenebrio","Saprotroph","Undefined Saprotroph","NULL","Highly Probable","On rock (Egidi et al. 2014)","Egidi E, et al. 2014. Fungal Diversity 65:127-165","Arthrocatena_tenebrio"
"ASV587","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Penicillium_NA"
"ASV588","Fungi","Ascomycota","Sordariomycetes","Microascales","Gondwanamycetaceae","Custingophora","blanchettei","-","-","-","-","Unassigned","-","Custingophora_blanchettei"
"ASV589","Fungi","Ascomycota","Sordariomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV590","Fungi","Ascomycota","Sordariomycetes","Microascales","Graphiaceae","Graphium","NA","Pathotroph-Saprotroph","Animal Pathogen-Lichen Parasite-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph","NULL","Probable","Some (e.g., G. basitruncatum) likely opportunistic human pathogen (Irinyi et al. 2015)","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Graphium_NA"
"ASV591","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomonodictydaceae","Pleomonodictys","descalsii","-","-","-","-","Unassigned","-","Pleomonodictys_descalsii"
"ASV592","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","periconioides","Pathotroph-Symbiotroph","Ericoid Mycorrhizal","NULL","Probable","NULL","Newsham 2011. New Phytologist 190:783-793 (as DSE)","Oidiodendron_periconioides"
"ASV593","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Rhinocladiella","NA","Saprotroph","Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688","Rhinocladiella_NA"
"ASV594","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Scheffersomyces","lignosus","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Scheffersomyces_lignosus"
"ASV595","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Cadophora","NA","Symbiotroph","Endophyte","NULL","Highly Probable","Dark Septate Endophyte, known from plant roots.","Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; Newsham 2011. New Phytologist 190:783-793 (as DSE)","Cadophora_NA"
"ASV596","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus","appendiculatus","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Soil Saprotroph","NULL","Possible","It is important to note that the majority of species that comprise this genus, including the White-Nose Bat Syndrome causing Pseudogymnoascus destructans, were once placed in the genus Geomyces (see Minnis & Lindner 2013),and including Pseudogymnoascus panorum (as Geomyces panorum) that had been widely applied to a number of isolates from cold places, including those found in soil, on living roots, hypersaline lakes, keratinaceous substrates, and skin lesions of animals (perhaps as a weak pathogen); however, the true identity of Geomyces panorum (now Pseudogymnoascus panorum) is not known (pers.Lindner DL)","Minnis AM, Lindner DL. 2013. Fungal Biology 117:638-649; Tedersoo L, et al. 2014. Science 346:1256688","Pseudogymnoascus_appendiculatus"
"ASV597","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Diddensiella","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Diddensiella_NA"
"ASV598","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Rhinocladiella","phaeophora","Saprotroph","Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688","Rhinocladiella_phaeophora"
"ASV599","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Sordariomycetes_fam_Incertae_sedis","Lentomitella","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Lentomitella_NA"
"ASV600","Fungi","Basidiomycota","Tremellomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV602","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Sistotrema","brinkmannii","Saprotroph-Symbiotroph","Ectomycorrhizal-Wood Saprotroph","White Rot","Possible","NULL","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/not ECM).; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 pro parte.; http://mycorrhizas.info/ecmf.html (ECM/not ECM).","Sistotrema_brinkmannii"
"ASV603","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV604","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Eutypa","spinosa","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Eutypa_spinosa"
"ASV605","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Plenodomus","biglobosus","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Plenodomus_biglobosus"
"ASV607","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Sordariomycetes_fam_Incertae_sedis","Lentomitella","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Lentomitella_NA"
"ASV608","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","NA","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Mycosphaerella_NA"
"ASV610","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV612","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV614","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Cryptocoryneum","condensatum","-","-","-","-","Unassigned","-","Cryptocoryneum_condensatum"
"ASV615","Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Dacrymyces","stenosporus","Saprotroph","Wood Saprotroph","Brown Rot","Probable","NULL","Worrall JJ, et al. 1997. Mycologia 89:199-219","Dacrymyces_stenosporus"
"ASV616","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus","hobsonii","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Clitopilus_hobsonii"
"ASV617","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Parmelina","carporrhizans","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Parmelina_carporrhizans"
"ASV618","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","griseum","Pathotroph-Symbiotroph","Ericoid Mycorrhizal","NULL","Probable","NULL","Newsham 2011. New Phytologist 190:783-793 (as DSE)","Oidiodendron_griseum"
"ASV619","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Merismodes","fasciculata","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Merismodes_fasciculata"
"ASV620","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","NA","NA","Symbiotroph","Ectomycorrhizal","NULL","Probable","Terrestrial forming mycorrhizas with a wide range of plants including orchids, Ericaceae and liverworts as well as ectomycorrhizas with conifers and angiosperm trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV621","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV622","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV624","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Xylodon","raduloides","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Xylodon_raduloides"
"ASV625","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV626","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Lecidella","f._elaeochroma","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Lecidella_f._elaeochroma"
"ASV627","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","microstomus","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Cryptodiscus_microstomus"
"ASV628","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","NA","Saprotroph-Symbiotroph","Endophyte-Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Costa IPMW, et al. 2012. Mycotaxon 119:26; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Xylaria_NA"
